net,length_um
_09422_,385.69
_34797_,385.42
_30031_,385.35
_35008_,384.98
_30021_,384.83
_28108_,384.31
_34944_,383.94
_10363_,383.74
net363,383.625
_29073_,383.54
_34924_,382.8
_26187_,382.575
_35597_,382
_34851_,381.52
_36166_,381.46
_28601_,381.27
_27602_,381.11
_34968_,380.96
_29539_,380.41
_35124_,380.28
_37000_,379.92
_29070_,379.52
_27138_,379.35
_23780_,378.9
_28580_,378.9
_29080_,378.82
_29545_,377.95
_27123_,377.625
_28590_,377.33
_08938_,377.29
_28104_,377.28
_19961_,376.68
_34971_,376.63
_23787_,375.86
_14715_,375.78
_23737_,375.23
_30034_,375.04
_22347_,374.79
_36934_,374.42
_35023_,372.95
_03828_,372.92
_26637_,372.84
_27609_,372.81
_29059_,372.68
matrix_top.results\[1376\],372.33
_08532_,371.99
_29549_,370.73
_21871_,370.63
_16107_,370.46
_09412_,369.96
_34857_,369.67
_09415_,369.17
_36066_,368.04
_19965_,367.76
_08930_,367.3
_13884_,366.86
_12284_,366.59
_27618_,366.47
_36316_,366.34
_26641_,366.1
_35002_,365.72
_35850_,365.67
_27606_,365.66
_34829_,364.9
_28100_,364.8
_08941_,364.14
_34843_,363.95
_16114_,363.86
_27630_,363.78
_27133_,363.36
_07234_,363.15
_08934_,362.74
_21890_,362.72
_20459_,362.57
_27127_,362.4
_28835_,362.26
_22366_,362.15
_36870_,361.5
_10382_,361.45
_35051_,360.87
_08446_,360.65
_08449_,360.62
ar_addr_r\[5\],360.6
_19968_,360.4
_03784_,359.78
_35006_,359.35
_22353_,359.055
_03523_,358.98
_23784_,358.81
_27380_,358.73
_29557_,358.64
_16111_,358.42
_28584_,358.3
_32309_,358.21
_09427_,358.2
_35849_,358.12
_27141_,357.93
_04131_,356.78
_14227_,356.7
_07521_,356.64
_28122_,356.545
_16121_,356.14
_34976_,355.81
_29064_,355.78
net14,355.73
_28112_,355.47
_12767_,355.28
net332,355.15
_19427_,354.73
_36806_,354.28
_35475_,353.95
_28125_,353.88
_22359_,353.54
_29083_,353.4
_04128_,353.25
_09430_,353.06
net209,352.84
_34852_,352.52
_35309_,352.16
_35959_,351.77
_10849_,351.675
net439,350.83
_23793_,350.7
_12770_,350.14
_36742_,347.82
_19929_,347.59
_16117_,347.28
_30222_,347.06
_28605_,346.68
_21395_,346.25
_35848_,346.21
net197,346.18
_28593_,345.49
_08947_,344.6
_12763_,343.83
_17633_,343.59
_09892_,342.43
net223,342.37
_34816_,342.21
_21388_,341.76
_10358_,341.64
_21401_,341.1
_34876_,340.82
_03973_,340.75
_11340_,340.61
_24741_,340.54
_24747_,340.54
